,AAPL,ABBV,ABT,ACN,ADBE,AMGN,AMZN,AVGO,BAC,BMY,BRK.B,C,CMCSA,COST,CRM,CSCO,CVX,DIS,FB,GOOG,GOOGL,HD,INTC,JNJ,JPM,KO,LLY,MA,MCD,MDT,MRK,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PM,PYPL,T,TMO,TXN,UNH,UNP,V,VZ,WMT,XOM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-02,27.847,,26.773,36.05,41.71,46.6,96.21,,40.57,26.1,92.1,289.2,8.85,68.14,15.118,26.54,63.83,31.82,,342.59,342.938,26.11,25.34,65.94,42.17,30.57,52.58,21.43,58.12,49.46,57.35,35.23,66.39,3.761,15.8,32.97,75.38,22.9,72.37,,,41.03,55.81,32.36,56.73,31.03,,43.19,46.9,93.56
2008-01-03,27.836,,26.624,35.49,41.78,39.1,95.18,,40.31,26.12,92.9,289.1,8.67,67.08,15.225,26.75,94.58,27.71,,342.49,342.832,25.82,24.68,65.95,41.86,30.855,52.96,21.184,57.92,49.71,57.3,35.37,66.97,3.721,15.65,32.73,75.82,23.16,72.31,,,41.37,57.05,31.64,56.92,30.938,,43.45,46.39,93.91
2008-01-04,25.704,,26.734,34.87,40.25,38.34,88.74,,39.85,25.72,91.0,2567.1,8.405,65.65,14.715,26.08,93.4,31.14,,328.48,328.813,24.94,22.6,65.83,40.89,30.905,51.77,19.956,57.03,49.1,56.78,34.36,68.82,3.516,15.438,29.98,75.5,22.79,71.92,,,40.9,55.98,30.51,55.98,29.993,,42.54,45.64,92.0
2008-01-07,25.369,,27.593,33.89,40.25,45.38,88.84,,39.86,26.08,88.76,2568.9,3.54,65.94,3.608,26.12,92.17,31.18,,324.34,324.669,25.36,22.88,66.89,41.32,31.665,54.59,20.0,58.08,49.84,57.96,34.65,72.03,3.557,15.533,26.89,77.37,23.24,72.5,,,41.37,56.85,30.51,56.93,29.728,,43.38,46.58,91.24
2008-01-08,24.461,,28.265,33.95,39.24,39.65,87.92,,38.36,26.65,88.33,270.9,8.305,64.94,3.421,25.44,62.12,30.48,,315.66,315.981,24.7,22.27,66.82,39.56,31.775,56.12,19.779,57.01,49.29,59.58,33.46,71.55,3.329,15.425,27.44,77.89,23.46,72.5,,,39.03,56.86,30.43,56.07,28.723,,41.61,45.91,89.99
2008-01-09,25.643,,28.788,33.78,39.46,40.78,85.09,,38.75,27.08,86.3,275.5,3.553,67.23,13.605,26.21,92.54,30.12,,326.35,326.676,24.78,22.74,67.84,40.31,32.645,56.86,19.607,57.48,50.71,60.5,34.44,71.46,3.29,15.473,28.81,78.75,23.92,72.56,,,38.99,55.39,30.48,56.28,28.595,,42.51,46.93,91.64
2008-01-10,25.431,,28.826,33.66,39.22,40.7,84.28,,39.3,26.91,89.22,2555.2,8.605,69.89,3.468,26.24,62.77,30.69,,323.282,323.606,25.29,22.54,67.88,41.29,32.775,56.84,19.5,58.12,50.75,60.44,34.32,72.01,3.529,15.618,28.29,79.47,24.05,72.43,,,39.39,56.0,30.38,56.05,29.215,,43.43,48.39,91.62
2008-01-11,24.629,,10.671,32.8,38.05,40.75,81.14,,38.43,26.52,87.54,2596.1,8.56,66.43,3.406,25.84,90.65,30.32,,319.44,319.759,24.68,21.97,67.88,40.85,31.885,56.86,17.895,54.23,50.15,60.59,33.92,71.31,3.346,15.185,27.02,77.76,24.01,70.16,,,38.19,55.05,29.89,55.91,28.573,,42.5,47.76,90.3
2008-01-14,25.534,,28.764,33.5,38.48,47.93,82.87,,39.22,27.01,86.55,2641.6,8.835,64.72,13.913,26.28,90.87,30.36,,326.876,327.203,25.4,23.11,67.95,41.36,32.165,57.15,17.838,54.92,49.67,59.82,34.39,71.29,3.253,15.158,28.87,76.85,23.96,70.28,,,38.49,55.57,30.37,55.35,28.84,,42.96,47.68,90.76
2008-01-15,24.143,,28.601,33.52,37.87,40.55,80.25,,37.84,26.1,85.27,2448.9,8.84,63.97,13.58,25.84,88.25,26.04,,318.75,319.069,25.33,22.7,67.74,39.05,31.785,56.57,17.521,53.74,48.42,58.16,34.0,70.97,3.15,14.27,26.74,74.73,23.6,69.64,,,37.6,54.79,29.71,54.91,28.075,,42.14,46.96,89.08
2008-01-16,22.801,,29.023,34.1,37.75,40.64,80.25,,38.65,25.8,84.33,2385.2,9.085,63.99,13.613,25.12,86.23,26.02,,307.71,308.023,26.33,19.86,68.35,41.36,31.3,56.06,17.583,52.35,48.4,58.32,33.21,67.86,3.154,14.42,23.66,73.5,23.39,68.84,,,37.86,54.83,29.5,55.3,28.208,,42.32,47.45,86.55
2008-01-17,22.92,,28.682,33.41,35.53,40.58,80.34,,36.9,24.87,86.96,249.7,8.71,64.26,13.395,24.39,82.68,28.79,,300.14,300.44,26.27,19.33,67.74,40.12,31.035,54.83,17.699,51.99,47.8,54.83,33.03,65.32,3.11,13.998,23.3,72.19,22.98,68.03,,,37.29,53.77,29.26,54.32,27.213,,40.89,47.5,83.91
2008-01-18,23.031,,28.5,33.77,35.32,47.18,79.7,,36.03,24.49,88.1,244.6,8.52,64.58,12.99,24.31,83.48,28.54,,300.04,300.34,26.3,19.02,66.31,39.59,30.395,53.77,17.466,52.43,47.03,53.3,33.06,63.7,3.123,14.143,24.83,71.49,22.51,67.18,,,36.12,52.04,29.44,54.36,27.625,,39.09,47.57,85.09
2008-01-22,22.5,,27.627,33.3,33.9,38.85,78.48,,37.45,22.93,91.38,244.3,3.467,66.12,13.05,23.5,55.49,24.53,,292.18,292.477,28.25,18.66,65.29,40.88,29.4,52.16,18.288,52.37,46.39,51.37,31.98,60.87,3.177,14.345,23.71,69.43,22.23,65.22,,,36.01,50.61,29.06,51.14,27.608,,37.86,49.19,82.58
